,District,Type,Population,Area sqmi,Under 5,5 to 17,18 to 24,25 to 44,45 to 64,Over 65,Male,Female,Total Families,Avg Residential Value,Liquor Licenses,Faith Orgs,Parks,Total A Offenses,Assault Offenses,Arson,Burglary,Criminal Damages,Locked Vehicle,Robbery,Sex Offense,Theft,Vehicle Theft,Homicide
0,20800,CensusTract,3009,0.34,159,307,209,1037,962,335,1461,1548,727,198569.0,5,2,3,791,54,0,143,170,171,15,8,158,72,0
0,20900,CensusTract,2553,0.39,189,395,188,752,732,297,1261,1292,674,147573.0,7,2,0,788,100,0,93,189,147,18,6,184,51,0
0,2100,CensusTract,2474,0.35,206,535,298,633,665,137,1178,1296,591,57882.0,2,4,1,3744,826,28,487,464,269,291,69,823,478,9
0,21000,CensusTract,2189,0.5,143,357,159,653,607,270,1092,1097,584,142285.0,3,0,0,593,57,0,89,119,99,14,9,172,34,0
0,21100,CensusTract,1364,0.25,84,202,86,464,374,154,670,694,350,127387.0,6,0,0,493,43,0,117,79,92,16,7,99,39,1
0,21200,CensusTract,2097,0.75,123,265,170,529,662,348,1043,1054,553,149959.0,9,1,0,913,107,6,142,136,156,24,15,250,76,1
0,21300,CensusTract,1631,0.49,114,245,125,369,354,424,723,908,395,212570.0,1,1,3,842,79,0,67,156,175,21,10,256,78,0
0,21400,CensusTract,3288,0.5,274,548,386,883,777,420,1585,1703,765,234874.0,6,0,0,1684,302,4,173,291,232,57,36,414,173,2
0,21500,CensusTract,2824,0.5,168,571,180,650,749,506,1371,1453,779,160195.0,6,0,0,740,59,3,119,164,118,15,19,189,54,0
0,21600,CensusTract,4365,1.43,376,828,320,1158,1105,578,2198,2167,1140,142196.0,11,2,3,2485,223,9,268,360,684,33,44,683,180,1
0,21700,CensusTract,6142,4.88,406,978,446,1555,1788,969,3068,3074,1624,150851.0,13,3,4,2920,294,10,260,389,699,56,61,917,233,1
0,21800,CensusTract,2223,0.34,159,379,173,596,566,350,1087,1136,572,171325.0,0,1,0,592,120,1,36,97,75,9,13,188,53,0
0,2200,CensusTract,1790,0.44,159,354,167,491,451,168,843,947,440,91463.0,0,1,22,1031,188,2,191,180,62,49,13,238,108,0
0,2300,CensusTract,4406,0.71,372,956,411,1042,1042,583,1954,2452,1088,57469.0,2,6,7,4321,819,34,719,596,226,268,58,919,676,6
0,2400,CensusTract,2244,0.45,232,542,255,542,511,162,1029,1215,512,55658.0,7,6,17,4098,873,43,570,497,265,365,66,833,572,14
0,2500,CensusTract,2195,0.21,196,539,259,527,530,144,1024,1171,504,58301.0,1,3,1,3006,730,26,367,289,179,280,41,669,415,10
0,2600,CensusTract,2829,0.27,270,717,318,695,628,201,1289,1540,708,55275.0,3,5,3,3767,787,37,553,469,246,284,59,818,498,16
0,2700,CensusTract,1995,0.27,153,499,213,496,487,147,947,1048,484,46695.0,1,1,14,1632,388,12,290,158,66,149,35,294,229,11
0,2800,CensusTract,2252,0.25,200,578,310,584,457,123,1041,1211,552,49067.0,2,2,1,2750,760,22,407,318,117,197,46,551,319,13
0,2900,CensusTract,2179,0.25,174,577,237,598,463,130,1003,1176,522,51716.0,3,2,0,2074,405,12,351,272,95,190,42,420,279,8
0,3000,CensusTract,3782,0.51,285,856,387,964,954,336,1800,1982,968,73782.0,2,8,0,3493,538,22,619,601,242,234,56,672,502,7
0,301,CensusTract,1483,0.78,76,235,80,397,451,244,711,772,375,117854.0,0,1,8,274,26,0,61,34,62,6,4,60,21,0
0,302,CensusTract,3028,0.7,335,901,316,833,544,99,1356,1672,763,150523.0,1,6,3,2649,645,7,436,481,177,78,59,397,365,4
0,303,CensusTract,1873,0.61,156,416,162,521,470,148,902,971,488,130698.0,1,0,3,734,114,4,153,137,89,16,10,117,93,1
0,304,CensusTract,3382,1.3,220,678,299,726,970,489,1643,1739,929,148120.0,1,5,4,1412,204,5,230,213,219,52,23,270,195,1
0,3100,CensusTract,3572,0.48,278,876,375,893,888,262,1603,1969,884,73056.0,5,7,3,3889,574,22,644,539,328,342,54,787,589,10
0,3200,CensusTract,2819,0.31,217,640,306,699,708,249,1293,1526,700,87469.0,1,0,1,2495,343,7,480,407,167,176,21,514,378,2
0,3300,CensusTract,5182,0.57,463,1195,539,1341,1197,447,2365,2817,1346,117145.0,3,4,0,4567,725,15,843,721,342,353,65,836,663,4
0,3400,CensusTract,5533,0.8,420,1026,487,1604,1332,664,2456,3077,1391,120877.0,2,5,3,4204,546,15,738,620,404,272,51,973,582,3
0,3500,CensusTract,3410,0.45,240,802,322,850,891,305,1527,1883,869,88198.0,1,3,0,3802,471,13,620,573,343,345,51,826,558,2
0,3600,CensusTract,1893,0.39,136,400,202,491,486,178,859,1034,517,82447.0,6,7,0,4432,450,18,412,443,513,414,37,1507,635,3
