District,Type,Population,Area (Sq. Mile),% Pop 18 to 24,% Male,Liquor Licenses/Sq. Mi.,Faith Orgs/Sq. Mi.,Parks/Sq. Mi.,Avg Residential Value,Total Offenses
5800,CensusTract,3430,0.39,0.072303207,0.458017493,7.692311487,7.692311487,10.25641238,150262,2094
5900,CensusTract,3614,0.33,0.110957388,0.473436635,9.090907485,21.21212112,3.030306145,85740,4062
6000,CensusTract,2658,0.16,0.098194131,0.44469526,12.49999256,12.49999256,0,64278,3145
6100,CensusTract,2320,0.2,0.093103448,0.459913793,4.9999944,4.9999944,0,79494,3257
6200,CensusTract,2923,0.18,0.109818679,0.453301403,27.77777241,22.22222117,5.555551233,42887,4210
6300,CensusTract,2462,0.34,0.108042242,0.454102356,5.882355224,8.823532835,2.941177612,31158,4426
6400,CensusTract,2510,0.19,0.119920319,0.457370518,15.78947205,26.31579116,5.263152947,23518,3993
6500,CensusTract,2628,0.19,0.114916286,0.45129376,42.10526274,42.10526274,0,31243,3524
6600,CensusTract,3053,0.36,0.11333115,0.465771372,16.66666622,24.99999933,2.777780531,22972,4649
6700,CensusTract,1492,0.16,0.10924933,0.46849866,31.24999595,24.99999863,0,30069,2043
6800,CensusTract,2813,0.22,0.120511909,0.457874156,27.27272546,27.27272546,0,31016,3281
6900,CensusTract,2585,0.19,0.121470019,0.483172147,21.05263455,31.57894503,15.78947932,38585,3051
7000,CensusTract,3020,0.26,0.13410596,0.480794702,11.53845592,30.76923515,3.846155846,40916,4006
7100,CensusTract,1912,0.14,0.175209205,0.534518828,64.28571469,14.28571286,14.28571286,130796,2214
7200,CensusTract,2791,0.33,0.112862773,0.503403798,12.12121151,3.030307106,18.18181726,152624,2604
7300,CensusTract,2477,0.27,0.546628987,0.546225273,11.1111156,0,14.81481774,260210,1698
7400,CensusTract,4122,0.35,0.746239689,0.483988355,2.857146634,8.571428126,0,447983,611
7500,CensusTract,2706,0.27,0.341463415,0.510716925,0,25.92592542,7.4074044,393042,1548
7600,CensusTract,3275,0.22,0.343206107,0.481221374,36.363635,22.72727932,13.63637057,503608,2039
7700,CensusTract,3807,0.27,0.439453638,0.551878119,55.555551,14.8148136,18.518517,343475,3231
7800,CensusTract,3446,0.25,0.685432385,0.571967499,44.00000289,4.000006528,20.00000507,307613,3546
7900,CensusTract,2224,0.21,0.357464029,0.53192446,71.42856808,4.761901714,28.57143147,170515,1939
8000,CensusTract,1951,0.13,0.201947719,0.517683239,92.30769302,23.07692325,0,132097,2803
8100,CensusTract,1331,0.11,0.099173554,0.485349361,18.181823,27.2727224,0,50905,1536
8400,CensusTract,1315,0.18,0.12243346,0.467680608,5.555553556,33.33333594,0,24627,2112
8500,CensusTract,1309,0.15,0.106951872,0.449197861,13.33333437,66.66666314,6.666667187,31007,2608
8600,CensusTract,1500,0.12,0.119333333,0.456,33.3333375,58.3333375,0,26824,2327
8700,CensusTract,1410,0.13,0.087943262,0.432624113,0,61.538463,0,25024,2422
8800,CensusTract,2121,0.19,0.131541726,0.471004243,21.05263296,84.21053185,5.263161032,27466,3965
8900,CensusTract,1462,0.23,0.121067031,0.511627907,17.39130363,4.347829087,4.347829087,27731,2690
9000,CensusTract,2544,0.19,0.129716981,0.436713836,21.05263099,57.89473187,5.263161095,35304,5024
9100,CensusTract,2425,0.2,0.124123711,0.474639175,20.00000563,30.00000238,0,63560,4022
9200,CensusTract,1901,0.16,0.13256181,0.479747501,12.50000174,18.75000261,0,101724,2388
9300,CensusTract,2535,0.22,0.095463511,0.48086785,13.63636418,9.090913295,4.545450886,123742,1973
9400,CensusTract,2423,0.23,0.056954189,0.469665704,21.73913493,17.39130373,0,168497,895
9500,CensusTract,2121,0.2,0.073550212,0.483734088,20.00000132,5.00000298,0,178010,997
9600,CensusTract,2317,0.4,0.109624514,0.473457057,2.500002453,12.50000068,4.999999113,34888,3380
9700,CensusTract,1939,0.17,0.137184116,0.495100567,11.76471141,17.64705571,5.882355706,36705,2459
9800,CensusTract,1433,0.17,0.138869505,0.460572226,23.52941324,17.64705782,11.76470241,47762,2705
9900,CensusTract,1458,0.2,0.111796982,0.462277092,0,50.00000319,9.99999918,32913,2566
10600,CensusTract,1192,0.11,0.116610738,0.505872483,27.27273244,27.27273244,0,119993,1357
10700,CensusTract,2208,0.24,0.166666667,0.539855072,24.9999972,0,8.3333324,213173,2675
10800,CensusTract,2469,0.13,0.30255164,0.534224382,184.6153917,15.38462388,30.76922878,328818,2679
11000,CensusTract,3428,0.11,0.178529755,0.505834306,181.8181906,18.18183153,0,388282,2093
11100,CensusTract,1481,0.1,0.241728562,0.558406482,69.99999816,89.99999975,9.99999339,492419,1685
11200,CensusTract,2219,0.15,0.183866607,0.548445246,166.6666639,6.666660047,19.99999493,235259,1824
11300,CensusTract,1829,0.18,0.347184254,0.56697649,99.99999582,11.11111403,0,552147,2728
11400,CensusTract,1137,0.21,0.18469657,0.511873351,23.80952176,0,0,331733,1518
12200,CensusTract,2557,0.19,0.132968322,0.480641377,10.52632115,10.52632115,0,58116,3012
12300,CensusTract,1122,0.3,0.115864528,0.491087344,13.33333188,3.33333484,16.66666672,85187,2091
12400,CensusTract,2592,0.51,0.105324074,0.477623457,11.76470682,1.960781929,9.803919812,123888,1539
12500,CensusTract,2014,0.69,0.088381331,0.495034757,10.14492664,4.347826119,14.49275276,196699,899
12600,CensusTract,2169,0.3,0.076532964,0.486860304,36.66667026,10.00000098,6.66666732,129179,904
12700,CensusTract,1189,0.39,0.121110177,0.500420521,2.56410289,5.128205779,12.8205114,139128,743
12800,CensusTract,2958,1.05,0.237660581,0.474983097,1.904763251,5.714286937,5.714286937,163169,1120
12900,CensusTract,2942,0.4,0.085316111,0.498640381,9.999997745,9.999997745,0,118007,1320
13000,CensusTract,1800,0.26,0.090555556,0.483888889,7.692306923,0,7.692306923,121738,844
